tweet_id,thread_id,text,created_at,stratum,sample_reason,reference_reply,label_intent,label_action,label_reason,reference_is_good,notes
116800,116800,@AmericanAir Terrible service yesterday flight 4887 After multiple delays flight cancelled unable to book another flight driving to St Louis Poorly  informed staff with resulting shabby communications to passengers. Never fly connecting flights out of ROA again  Appropiate comp?,2017-11-23 21:47:20+00:00,A,uniform_random,@[REF] Please follow-up with us via DM so we may take a closer look with you.,flight_disruption,escalate,policy_or_compensation,False,
2805460,2805460,@AmericanAir you kinda making my trip a little stressful ☹️☹️☹️☹️,2017-11-22 02:28:37+00:00,A,uniform_random,"@[REF] What's going on, Sami? We want to make your trip as easy as possible.",service_complaint,auto,,True,
2374634,2374634,"@AmericanAir #ShameOnYou Delayed flight, charging a fee for a plane ticket that was already bought we arrive and don’t even have a gate? 🙄",2017-11-14 01:08:48+00:00,A,uniform_random,"@[REF] We know you're ready to be on your way, Christian. We're very sorry for the extra travel time.",flight_disruption,escalate,ambiguous_request,True,
2703492,2703492,Never flying @AmericanAir again. Was humiliated and later assaulted by one of your flight attendants today. So disappointed you let your staff treat your customers with such disrespect.,2017-11-19 21:12:26+00:00,A,uniform_random,@[REF] Your comments concern us and we'd like to hear more about what happened?,service_complaint,escalate,high_risk_intent,False,
2864223,2864223,"@AmericanAir flight to Washington Reagan from Dallas Fort Worth is delayed by an hour, thanks!",2017-11-27 23:33:37+00:00,A,uniform_random,@[REF] Our apology for the extra wait this evening. We'll have the flight wheels up just as quickly as we can.,flight_disruption,auto,,True,
2378374,2378374,My flight was delayed and caused me to miss my connecting flight and now I’m stuck in Texas. This has been the worst airline experience I’ve ever had. I was also not allowed to get my bags that I PAID to have checked!! @AmericanAir,2017-11-14 03:58:51+00:00,A,uniform_random,@[REF] We're trying to get you to where you need to be asap. Please send us a DM with your record locator if you need to be rebooked.,flight_disruption,escalate,needs_account_access,True,
520935,520935,Smh never flying again always a problem. Our plane is apparently broken been sitting at gate no food/no water.. wow suppose to been taking off a hour ago!!! 🤦🏼‍♂️😡 @AmericanAir,2017-12-02 03:10:36+00:00,A,uniform_random,@[REF] We'd like to check on an update for you. What's the flight number?,flight_disruption,escalate,angry_or_repeat_contact,True,
569719,569719,What’s good @AmericanAir what’s all this about ?? [URL],2017-12-03 03:06:48+00:00,A,uniform_random,"@[REF] We now offer some lower fares so that everyone that needs to fly, can.",other,auto,,True,
2486068,2486068,@AmericanAir Flight AA68 was boarded and ready to go. Only to be deplaned due to not having vests correctly stowed. Flight is now delayed and some may miss connecting flights,2017-11-15 16:01:52+00:00,A,uniform_random,"@[REF] We're sorry for your delay, Michael. We're doing our best to prepare for departure and should be in the air soon!",flight_disruption,escalate,needs_account_access,True,
2963566,2963566,@AmericanAir stressed right now boy. My flight better not be affected by this either😫,2017-11-29 21:47:30+00:00,A,uniform_random,@[REF] We know your holiday plans are important. Flights are not cancelled at this time. We’re planning on operating our usual schedule.,other,auto,,True,
2201613,2201613,We filed one they just didn’t put it on the plane. A 630am direct not full flight. You can do better @AmericanAir. [URL],2017-11-26 14:08:37+00:00,A,uniform_random,@[REF] We're always striving to do better. Our team will do their best to reunite your items to as quickly as possible.,,,,,
2748732,2748732,"Amazing view of today’s sunset. @AmericanAir flight 1857 28,000 feet above Washington DC, row 17, seat F [URL]",2017-11-20 23:17:12+00:00,A,uniform_random,@[REF] That's absolutely beautiful! Thanks for flying with us today.,,,,,
